,nbed,totalFloors,floorNo.,Area(sqft),parkings,nbath,balconies,Amt(rupees),Ready to Move,Under Construction
174,5,7,3,3255,3,4,1,39700000.0,1,0
175,3,9,3,803,1,3,1,7000000.0,1,0
176,3,13,8,1362,2,3,1,19800000.0,0,1
177,3,7,7,339,1,3,1,11200000.000000002,1,0
178,3,14,8,2430,1,3,1,12100000.0,0,1
179,3,7,4,836,1,3,2,5300000.0,1,0
180,4,10,5,3159,1,4,1,14700000.0,0,1
181,4,5,3,2181,3,4,1,31700000.0,0,1
182,4,13,5,1300,2,4,1,14500000.0,1,0
183,3,13,10,850,2,3,3,7000000.0,1,0
184,4,13,10,2083,2,4,1,25800000.0,0,1
185,4,10,1,2585,3,4,4,37600000.0,0,1
186,3,14,9,1098,1,3,1,8300000.0,0,1
187,3,7,-1,831,2,3,3,16000000.0,1,0
188,3,10,3,2010,2,3,1,14500000.0,1,0
189,2,7,4,710,1,2,2,4000000.0,1,0
190,4,14,7,2320,2,4,1,30900000.0,0,1
191,5,21,8,3822,4,5,2,62500000.0,0,1
192,4,10,5,2400,2,4,2,28000000.0,0,1
193,3,7,7,1845,1,3,2,10000000.0,1,0
194,3,20,14,1320,1,3,1,15000000.0,0,1
